year,Topic,rate,rank,Rubric
2008,topic_17,107.80429937180008,19.0,bivs-SSR
2009,topic_17,135.61656848090993,17.0,bivs-SSR
2010,topic_17,294.65686102789977,3.0,bivs-SSR
2011,topic_17,122.33713890899999,15.0,bivs-SSR
2012,topic_17,116.89381271419998,16.0,bivs-SSR
2013,topic_17,136.93992866410005,13.0,bivs-SSR
2014,topic_17,63.3851601939,19.0,bivs-SSR
2015,topic_17,49.20191127322998,18.0,bivs-SSR
2016,topic_17,97.24016440989996,18.0,bivs-SSR
2017,topic_17,40.7255134456,20.0,bivs-SSR
2018,topic_17,45.628926995299956,16.0,bivs-SSR
1999,topic_18,11.745004337000001,7.0,bivs-SSR
2000,topic_18,50.027472566530015,8.0,bivs-SSR
2001,topic_18,49.88987342660998,11.0,bivs-SSR
2002,topic_18,41.59681770520001,13.0,bivs-SSR
2003,topic_18,46.979712973367,9.0,bivs-SSR
2004,topic_18,53.147968749250005,15.0,bivs-SSR
2005,topic_18,101.49800193164594,18.0,bivs-SSR
2006,topic_18,179.30306036836987,8.0,bivs-SSR
2007,topic_18,234.86800783029025,6.0,bivs-SSR
2008,topic_18,186.01428652690004,8.0,bivs-SSR
2009,topic_18,207.99749249159342,11.0,bivs-SSR
2010,topic_18,185.37438601225992,10.0,bivs-SSR
2011,topic_18,136.38797557536,12.0,bivs-SSR
2012,topic_18,191.98661256129998,7.0,bivs-SSR
2013,topic_18,207.31367215056028,7.0,bivs-SSR
2014,topic_18,215.89608012064258,12.0,bivs-SSR
2015,topic_18,192.24934512780027,11.0,bivs-SSR
2016,topic_18,189.14315910373975,12.0,bivs-SSR
2017,topic_18,190.77960147979994,12.0,bivs-SSR
2018,topic_18,60.08292893217599,12.0,bivs-SSR
1999,topic_19,11.157533644500004,10.0,bivs-SSR
2000,topic_19,27.542675497239994,14.0,bivs-SSR
2001,topic_19,48.45267732637997,12.0,bivs-SSR
2002,topic_19,47.25243377571001,10.0,bivs-SSR
2003,topic_19,34.571958899700014,15.0,bivs-SSR
2004,topic_19,140.23141232810394,4.0,bivs-SSR
2005,topic_19,226.2258905501084,4.0,bivs-SSR
2006,topic_19,399.8269373346648,2.0,bivs-SSR
2007,topic_19,483.8588349251907,1.0,bivs-SSR
2008,topic_19,346.2566859196899,2.0,bivs-SSR
2009,topic_19,351.84370816918357,3.0,bivs-SSR
2010,topic_19,368.18548242958065,2.0,bivs-SSR
2011,topic_19,166.31310880032592,9.0,bivs-SSR
2012,topic_19,184.9591394496271,8.0,bivs-SSR
2013,topic_19,139.47646574738584,12.0,bivs-SSR
2014,topic_19,489.0042197235015,4.0,bivs-SSR
2015,topic_19,327.40077765672333,4.0,bivs-SSR
2016,topic_19,459.89159327766976,3.0,bivs-SSR
2017,topic_19,225.6385914152698,9.0,bivs-SSR
2018,topic_19,69.72210932254995,9.0,bivs-SSR
1999,topic_0,0.909615747,18.0,biznes
2000,topic_0,3.7831008712999994,13.0,biznes
2001,topic_0,7.285114933000001,9.0,biznes
2002,topic_0,5.903074397999999,15.0,biznes
2003,topic_0,4.044682045999999,15.0,biznes
2004,topic_0,7.522838733599997,15.0,biznes
2005,topic_0,11.291421177499997,17.0,biznes
2006,topic_0,48.46538233277998,7.0,biznes
2007,topic_0,28.297135922200003,5.0,biznes
2008,topic_0,20.794602915600006,14.0,biznes
2009,topic_0,23.9620777259,15.0,biznes
2010,topic_0,20.6404475568,15.0,biznes
2011,topic_0,22.807398471500004,11.0,biznes
2012,topic_0,13.938693949,14.0,biznes
2013,topic_0,1.617271845,18.0,biznes
2014,topic_0,7.062891592699999,13.0,biznes
2015,topic_0,49.32941099249997,20.0,biznes
2016,topic_0,83.0250153054999,20.0,biznes
2017,topic_0,60.17314165370002,18.0,biznes
2018,topic_0,0.03431174,20.0,biznes
1999,topic_1,5.507920507700001,2.0,biznes
2000,topic_1,15.217000950600001,3.0,biznes
2001,topic_1,26.518653314699993,2.0,biznes
2002,topic_1,37.13972684514001,2.0,biznes
2003,topic_1,23.30908577485999,1.0,biznes
2004,topic_1,48.91141331029997,1.0,biznes
2005,topic_1,84.01939095470006,2.0,biznes
2006,topic_1,68.69020280486,3.0,biznes
2007,topic_1,55.8786495773,2.0,biznes
2008,topic_1,41.296079568100005,6.0,biznes
2009,topic_1,51.15702983390005,4.0,biznes
2010,topic_1,55.179337720099994,2.0,biznes
2011,topic_1,37.10059149840002,5.0,biznes
2012,topic_1,26.6081018077,4.0,biznes
2013,topic_1,2.2293229663000003,13.0,biznes
2014,topic_1,15.650145729499997,3.0,biznes
2015,topic_1,96.26491674890002,13.0,biznes
2016,topic_1,117.57150727413995,12.0,biznes
2017,topic_1,107.56271792275992,7.0,biznes
2018,topic_1,1.1884577649999999,11.0,biznes
1999,topic_2,0.9284006,17.0,biznes
2000,topic_2,12.953148067000003,4.0,biznes
2001,topic_2,3.0408685048,17.0,biznes
2002,topic_2,6.5796071846999995,12.0,biznes
2003,topic_2,2.9626432776000002,16.0,biznes
2004,topic_2,4.4123232091,18.0,biznes
2005,topic_2,97.56580987218001,1.0,biznes
2006,topic_2,39.789521749500004,8.0,biznes
2007,topic_2,12.752166671700005,18.0,biznes
2008,topic_2,20.3190760168,15.0,biznes
2009,topic_2,36.546501460100004,13.0,biznes
2010,topic_2,20.061334054999996,16.0,biznes
2011,topic_2,15.761698549999995,16.0,biznes
2012,topic_2,71.386762697,1.0,biznes
2013,topic_2,20.961233845000002,2.0,biznes
2014,topic_2,7.983755059799999,11.0,biznes
2015,topic_2,164.98948484890008,4.0,biznes
2016,topic_2,225.18724979231982,2.0,biznes
2017,topic_2,127.54723441881991,3.0,biznes
2018,topic_2,1.292115716,10.0,biznes
1999,topic_3,2.4351650794,8.0,biznes
2000,topic_3,4.0274085369999995,12.0,biznes
2001,topic_3,2.1993042874000004,18.0,biznes
2002,topic_3,5.954963513699998,13.0,biznes
2003,topic_3,2.0005804519,18.0,biznes
2004,topic_3,11.674634348300001,10.0,biznes
2005,topic_3,21.2569017337,14.0,biznes
2006,topic_3,29.9560596741,12.0,biznes
2007,topic_3,20.76367823029999,11.0,biznes
2008,topic_3,18.211487320099994,16.0,biznes
2009,topic_3,35.25278489539998,14.0,biznes
2010,topic_3,27.221126292402996,10.0,biznes
2011,topic_3,17.903946262499996,15.0,biznes
2012,topic_3,11.177544263200001,18.0,biznes
2013,topic_3,1.729568643,17.0,biznes
2014,topic_3,5.136198758000002,17.0,biznes
2015,topic_3,58.72885195189997,19.0,biznes
2016,topic_3,92.13432347975991,19.0,biznes
2017,topic_3,85.31002812618995,12.0,biznes
2018,topic_3,0.8610702299999999,15.0,biznes
1999,topic_4,0.9852298869999999,16.0,biznes
2000,topic_4,1.8695950479999999,18.0,biznes
2001,topic_4,1.3945590179999998,20.0,biznes
2002,topic_4,2.8419163062,20.0,biznes
2003,topic_4,2.0830251253,17.0,biznes
2004,topic_4,3.2971668987000013,20.0,biznes
2005,topic_4,8.9660672598,19.0,biznes
2006,topic_4,8.218217847599995,20.0,biznes
2007,topic_4,8.176617267,20.0,biznes
2008,topic_4,9.91274031,19.0,biznes
2009,topic_4,9.624654390159995,20.0,biznes
2010,topic_4,11.923468670600002,20.0,biznes
2011,topic_4,6.9658258671999995,20.0,biznes
2012,topic_4,13.2034850252,16.0,biznes
2013,topic_4,3.4829216359999986,8.0,biznes
2014,topic_4,13.628025335400002,6.0,biznes
2015,topic_4,83.80673501240001,16.0,biznes
2016,topic_4,121.5377909412,11.0,biznes
2017,topic_4,101.06804383319995,8.0,biznes
2018,topic_4,2.7441631,1.0,biznes
1999,topic_5,1.4273332600000002,14.0,biznes
2000,topic_5,1.619634817,20.0,biznes
2001,topic_5,5.0414389137,11.0,biznes
2002,topic_5,7.647124498300001,11.0,biznes
2003,topic_5,9.868717609,8.0,biznes
2004,topic_5,10.500523031899997,12.0,biznes
2005,topic_5,26.346850642060012,10.0,biznes
2006,topic_5,32.319496657399995,11.0,biznes
2007,topic_5,23.922892743249992,8.0,biznes
2008,topic_5,42.75003546807002,5.0,biznes
2009,topic_5,64.58337159059998,2.0,biznes
2010,topic_5,76.69627382960003,1.0,biznes
2011,topic_5,55.31802987790001,1.0,biznes
2012,topic_5,37.29298846828601,2.0,biznes
2013,topic_5,24.951473798999995,1.0,biznes
2014,topic_5,25.186562047000006,1.0,biznes
